date,wd,regime,severity,score,priority_date,priority_admin_no,priority_structure,location_structure,water_source,date_time_set,date_time_released,year,month,doy
2005-01-18,1,Free River,0,0,,,,,,,,2005,1,18
2005-01-18,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,18
2005-01-18,69,Free River,0,0,,,,,,,,2005,1,18
2005-01-19,1,Free River,0,0,,,,,,,,2005,1,19
2005-01-19,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,19
2005-01-19,69,Free River,0,0,,,,,,,,2005,1,19
2005-01-20,1,Free River,0,0,,,,,,,,2005,1,20
2005-01-20,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,20
2005-01-20,69,Free River,0,0,,,,,,,,2005,1,20
2005-01-21,1,Free River,0,0,,,,,,,,2005,1,21
2005-01-21,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,21
2005-01-21,69,Free River,0,0,,,,,,,,2005,1,21
2005-01-22,1,Free River,0,0,,,,,,,,2005,1,22
2005-01-22,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,22
2005-01-22,69,Free River,0,0,,,,,,,,2005,1,22
2005-01-23,1,Free River,0,0,,,,,,,,2005,1,23
2005-01-23,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,23
2005-01-23,69,Free River,0,0,,,,,,,,2005,1,23
2005-01-24,1,Free River,0,0,,,,,,,,2005,1,24
2005-01-24,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,24
2005-01-24,69,Free River,0,0,,,,,,,,2005,1,24
2005-01-25,1,Free River,0,0,,,,,,,,2005,1,25
2005-01-25,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,25
2005-01-25,69,Free River,0,0,,,,,,,,2005,1,25
2005-01-26,1,Free River,0,0,,,,,,,,2005,1,26
2005-01-26,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,26
2005-01-26,69,Free River,0,0,,,,,,,,2005,1,26
2005-01-27,1,Free River,0,0,,,,,,,,2005,1,27
2005-01-27,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,27
2005-01-27,69,Free River,0,0,,,,,,,,2005,1,27
2005-01-28,1,Free River,0,0,,,,,,,,2005,1,28
2005-01-28,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,28
2005-01-28,69,Free River,0,0,,,,,,,,2005,1,28
2005-01-29,1,Free River,0,0,,,,,,,,2005,1,29
2005-01-29,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,29
2005-01-29,69,Free River,0,0,,,,,,,,2005,1,29
2005-01-30,1,Free River,0,0,,,,,,,,2005,1,30
2005-01-30,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,30
2005-01-30,69,Free River,0,0,,,,,,,,2005,1,30
2005-01-31,1,Free River,0,0,,,,,,,,2005,1,31
2005-01-31,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,31
2005-01-31,69,Free River,0,0,,,,,,,,2005,1,31
2005-02-01,1,Free River,0,0,,,,,,,,2005,2,32
2005-02-01,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,32
2005-02-01,69,Free River,0,0,,,,,,,,2005,2,32
2005-02-02,1,Free River,0,0,,,,,,,,2005,2,33
2005-02-02,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,33
2005-02-02,69,Free River,0,0,,,,,,,,2005,2,33
2005-02-03,1,Free River,0,0,,,,,,,,2005,2,34
2005-02-03,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,34
2005-02-03,69,Free River,0,0,,,,,,,,2005,2,34
2005-02-04,1,Free River,0,0,,,,,,,,2005,2,35
2005-02-04,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,35
2005-02-04,69,Free River,0,0,,,,,,,,2005,2,35
2005-02-05,1,Free River,0,0,,,,,,,,2005,2,36
2005-02-05,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,36
2005-02-05,69,Free River,0,0,,,,,,,,2005,2,36
2005-02-06,1,Free River,0,0,,,,,,,,2005,2,37
2005-02-06,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,37
2005-02-06,69,Free River,0,0,,,,,,,,2005,2,37
2005-02-07,1,Free River,0,0,,,,,,,,2005,2,38
2005-02-07,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,38
2005-02-07,69,Free River,0,0,,,,,,,,2005,2,38
2005-02-08,1,Free River,0,0,,,,,,,,2005,2,39
2005-02-08,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,39
2005-02-08,69,Free River,0,0,,,,,,,,2005,2,39
2005-02-09,1,Free River,0,0,,,,,,,,2005,2,40
2005-02-09,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,40
2005-02-09,69,Free River,0,0,,,,,,,,2005,2,40
2005-02-10,1,Free River,0,0,,,,,,,,2005,2,41
2005-02-10,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,41
2005-02-10,69,Free River,0,0,,,,,,,,2005,2,41
2005-02-11,1,Free River,0,0,,,,,,,,2005,2,42
2005-02-11,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,42
2005-02-11,69,Free River,0,0,,,,,,,,2005,2,42
2005-02-12,1,Free River,0,0,,,,,,,,2005,2,43
2005-02-12,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,43
2005-02-12,69,Free River,0,0,,,,,,,,2005,2,43
2005-02-13,1,Free River,0,0,,,,,,,,2005,2,44
2005-02-13,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,44
2005-02-13,69,Free River,0,0,,,,,,,,2005,2,44
2005-02-14,1,Free River,0,0,,,,,,,,2005,2,45
2005-02-14,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,45
2005-02-14,69,Free River,0,0,,,,,,,,2005,2,45
2005-02-15,1,Free River,0,0,,,,,,,,2005,2,46
2005-02-15,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,46
2005-02-15,69,Free River,0,0,,,,,,,,2005,2,46
2005-02-16,1,Free River,0,0,,,,,,,,2005,2,47
2005-02-16,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,47
2005-02-16,69,Free River,0,0,,,,,,,,2005,2,47
2005-02-17,1,Free River,0,0,,,,,,,,2005,2,48
2005-02-17,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,48
2005-02-17,69,Free River,0,0,,,,,,,,2005,2,48
2005-02-18,1,Free River,0,0,,,,,,,,2005,2,49
2005-02-18,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,49
2005-02-18,69,Free River,0,0,,,,,,,,2005,2,49
2005-02-19,1,Free River,0,0,,,,,,,,2005,2,50
2005-02-19,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,50
2005-02-19,69,Free River,0,0,,,,,,,,2005,2,50
2005-02-20,1,Free River,0,0,,,,,,,,2005,2,51
2005-02-20,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,51
2005-02-20,69,Free River,0,0,,,,,,,,2005,2,51
2005-02-21,1,Free River,0,0,,,,,,,,2005,2,52
2005-02-21,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,52
2005-02-21,69,Free River,0,0,,,,,,,,2005,2,52
2005-02-22,1,Free River,0,0,,,,,,,,2005,2,53
2005-02-22,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,53
2005-02-22,69,Free River,0,0,,,,,,,,2005,2,53
2005-02-23,1,Free River,0,0,,,,,,,,2005,2,54
2005-02-23,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,54
2005-02-23,69,Free River,0,0,,,,,,,,2005,2,54
2005-02-24,1,Free River,0,0,,,,,,,,2005,2,55
2005-02-24,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,55
2005-02-24,69,Free River,0,0,,,,,,,,2005,2,55
2005-02-25,1,Free River,0,0,,,,,,,,2005,2,56
2005-02-25,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,56
2005-02-25,69,Free River,0,0,,,,,,,,2005,2,56
2005-02-26,1,Free River,0,0,,,,,,,,2005,2,57
2005-02-26,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,57
2005-02-26,69,Free River,0,0,,,,,,,,2005,2,57
2005-02-27,1,Free River,0,0,,,,,,,,2005,2,58
2005-02-27,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,58
2005-02-27,69,Free River,0,0,,,,,,,,2005,2,58
2005-02-28,1,Free River,0,0,,,,,,,,2005,2,59
2005-02-28,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,2,59
2005-02-28,69,Free River,0,0,,,,,,,,2005,2,59
2005-03-01,1,Free River,0,0,,,,,,,,2005,3,60
2005-03-01,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,60
2005-03-01,69,Free River,0,0,,,,,,,,2005,3,60
2005-03-02,1,Free River,0,0,,,,,,,,2005,3,61
2005-03-02,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,61
2005-03-02,69,Free River,0,0,,,,,,,,2005,3,61
2005-03-03,1,Free River,0,0,,,,,,,,2005,3,62
2005-03-03,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,62
2005-03-03,69,Free River,0,0,,,,,,,,2005,3,62
2005-03-04,1,Free River,0,0,,,,,,,,2005,3,63
2005-03-04,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,63
2005-03-04,69,Free River,0,0,,,,,,,,2005,3,63
2005-03-05,1,Free River,0,0,,,,,,,,2005,3,64
2005-03-05,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,64
2005-03-05,69,Free River,0,0,,,,,,,,2005,3,64
2005-03-06,1,Free River,0,0,,,,,,,,2005,3,65
2005-03-06,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,65
2005-03-06,69,Free River,0,0,,,,,,,,2005,3,65
2005-03-07,1,Free River,0,0,,,,,,,,2005,3,66
2005-03-07,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,66
2005-03-07,69,Free River,0,0,,,,,,,,2005,3,66
2005-03-08,1,Free River,0,0,,,,,,,,2005,3,67
2005-03-08,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,67
2005-03-08,69,Free River,0,0,,,,,,,,2005,3,67
2005-03-09,1,Free River,0,0,,,,,,,,2005,3,68
2005-03-09,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,68
2005-03-09,69,Free River,0,0,,,,,,,,2005,3,68
2005-03-10,1,Free River,0,0,,,,,,,,2005,3,69
2005-03-10,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,69
2005-03-10,69,Free River,0,0,,,,,,,,2005,3,69
2005-03-11,1,Free River,0,0,,,,,,,,2005,3,70
2005-03-11,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,70
2005-03-11,69,Free River,0,0,,,,,,,,2005,3,70
2005-03-12,1,Free River,0,0,,,,,,,,2005,3,71
2005-03-12,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,71
2005-03-12,69,Free River,0,0,,,,,,,,2005,3,71
2005-03-13,1,Free River,0,0,,,,,,,,2005,3,72
2005-03-13,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,72
2005-03-13,69,Free River,0,0,,,,,,,,2005,3,72
2005-03-14,1,Free River,0,0,,,,,,,,2005,3,73
2005-03-14,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,73
2005-03-14,69,Free River,0,0,,,,,,,,2005,3,73
2005-03-15,1,Free River,0,0,,,,,,,,2005,3,74
2005-03-15,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,74
2005-03-15,69,Free River,0,0,,,,,,,,2005,3,74
2005-03-16,1,Free River,0,0,,,,,,,,2005,3,75
2005-03-16,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,75
2005-03-16,69,Free River,0,0,,,,,,,,2005,3,75
2005-03-17,1,Free River,0,0,,,,,,,,2005,3,76
2005-03-17,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,76
2005-03-17,69,Free River,0,0,,,,,,,,2005,3,76
2005-03-18,1,Free River,0,0,,,,,,,,2005,3,77
2005-03-18,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,77
2005-03-18,69,Free River,0,0,,,,,,,,2005,3,77
2005-03-19,1,Free River,0,0,,,,,,,,2005,3,78
2005-03-19,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,78
2005-03-19,69,Free River,0,0,,,,,,,,2005,3,78
2005-03-20,1,Free River,0,0,,,,,,,,2005,3,79
2005-03-20,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,79
2005-03-20,69,Free River,0,0,,,,,,,,2005,3,79
2005-03-21,1,Free River,0,0,,,,,,,,2005,3,80
2005-03-21,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,80
2005-03-21,69,Free River,0,0,,,,,,,,2005,3,80
2005-03-22,1,Free River,0,0,,,,,,,,2005,3,81
2005-03-22,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,81
2005-03-22,69,Free River,0,0,,,,,,,,2005,3,81
2005-03-23,1,Free River,0,0,,,,,,,,2005,3,82
2005-03-23,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,82
2005-03-23,69,Free River,0,0,,,,,,,,2005,3,82
2005-03-24,1,Mild Administration,1,25,01/05/1922,26302.20226,EMPIRE DITCH,RIVERSIDE CANAL,SOUTH PLATTE RIVER,03/24/2005 08:00,04/02/2005 08:00,2005,3,83
2005-03-24,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,83
2005-03-24,69,Free River,0,0,,,,,,,,2005,3,83
2005-03-25,1,Mild Administration,1,25,01/05/1922,26302.20226,EMPIRE DITCH,RIVERSIDE CANAL,SOUTH PLATTE RIVER,03/24/2005 08:00,04/02/2005 08:00,2005,3,84
2005-03-25,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,84
2005-03-25,69,Free River,0,0,,,,,,,,2005,3,84
2005-03-26,1,Mild Administration,1,25,01/05/1922,26302.20226,EMPIRE DITCH,RIVERSIDE CANAL,SOUTH PLATTE RIVER,03/24/2005 08:00,04/02/2005 08:00,2005,3,85
2005-03-26,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,3,85
2005-03-26,69,Free River,0,0,,,,,,,,2005,3,85
